扫描ID,方法,服务前缀,原路径,匹配状态,候选Apifox项目,候选接口ID,候选接口名称
PCAPI-0001,POST,//question-bank-business-service,/paper/relation,UNIQUE_LITERAL_CANDIDATE,eeo_lms_question_bank_business_go,3496922,试卷绑定关系
PCAPI-0002,POST,/,/schedule-bff/class_schedule/courser/search,UNIQUE_LITERAL_CANDIDATE,eeo_schedule_bff,3499146,获取课程名称搜索
PCAPI-0003,POST,/,/schedule-bff/class_schedule/get,NO_LITERAL_MATCH,,,
PCAPI-0004,POST,/,/schedule-bff/class_schedule/list,UNIQUE_LITERAL_CANDIDATE,eeo_schedule_bff,3493820,获取课程表列表
PCAPI-0005,POST,/,/schedule-bff/class_schedule/lock_info,NO_LITERAL_MATCH,,,
PCAPI-0006,POST,/agent-api/app/,/message/deployTrialAgent,NO_LITERAL_MATCH,,,
PCAPI-0007,POST,/agent-api,/app/agent/cos/presignUrl,UNIQUE_LITERAL_CANDIDATE,agent_api,3498541,cos预签名url-上传和下载
PCAPI-0008,POST,/agent-api,/app/agent/selection/page,NO_LITERAL_MATCH,,,
PCAPI-0009,POST,/agent-api,/app/attachment/del,UNIQUE_LITERAL_CANDIDATE,agent_api,3502869,agent产物修删除
PCAPI-0010,POST,/agent-api,/app/attachment/download,UNIQUE_LITERAL_CANDIDATE,agent_api,3502861,附件下载
PCAPI-0011,POST,/agent-api,/app/attachment/list,UNIQUE_LITERAL_CANDIDATE,agent_api,3502753,agent产物列表
PCAPI-0012,POST,/agent-api,/app/attachment/update,UNIQUE_LITERAL_CANDIDATE,agent_api,3502867,agent产物修改
PCAPI-0013,POST,/agent-api,/app/config/welcome,MULTIPLE_LITERAL_CANDIDATES,course_ai_assistant_service; agent_api,3497919; 3498621,欢迎语/引导问题; ai学情-欢迎语/引导问题
PCAPI-0014,POST,/agent-api,/app/feedback/add,UNIQUE_LITERAL_CANDIDATE,agent_api,3500551,添加反馈
PCAPI-0015,POST,/agent-api,/app/feedback/getConfig,UNIQUE_LITERAL_CANDIDATE,agent_api,3500587,反馈配置
PCAPI-0016,POST,/agent-api,/app/message/answerUseful,MULTIPLE_LITERAL_CANDIDATES,course_ai_assistant_service; agent_api,3497908; 3498487,回答赞踩; 回答赞踩
PCAPI-0017,POST,/agent-api,/app/message/list,MULTIPLE_LITERAL_CANDIDATES,course_ai_assistant_service; agent_api,3497922; 3498480,问答列表; 会话详情
PCAPI-0018,POST,/agent-api,/app/session/del,UNIQUE_LITERAL_CANDIDATE,agent_api,3498654,会话删除
PCAPI-0019,POST,/agent-api,/app/session/list,MULTIPLE_LITERAL_CANDIDATES,course_ai_assistant_service; agent_api,3497918; 3498479,会话列表; 会话列表
PCAPI-0020,POST,/agent-api,/app/session/studentList,MULTIPLE_LITERAL_CANDIDATES,course_ai_assistant_service; agent_api,3497921; 3498791,学生会话量列表; 学生会话量列表
PCAPI-0021,POST,/agent-api,/app/skill/get,UNIQUE_LITERAL_CANDIDATE,agent_api,3502767,获取skill
PCAPI-0022,POST,/agent-api,/app/task/generateStudentReports,UNIQUE_LITERAL_CANDIDATE,agent_api,3503375,创建生成报告任务
PCAPI-0023,POST,/agentin/,/app/collect/agent/add,UNIQUE_LITERAL_CANDIDATE,agentin,3499647,添加业务智能体
PCAPI-0024,POST,/agentin/,/app/collect/agent/delete,UNIQUE_LITERAL_CANDIDATE,agentin,3499649,删除业务智能体
PCAPI-0025,POST,/agentin/,/app/collect/agent/list,UNIQUE_LITERAL_CANDIDATE,agentin,3499651,业务智能体收藏列表
PCAPI-0026,POST,/agentin/,/app/collect/agent/top,UNIQUE_LITERAL_CANDIDATE,agentin,3500549,置顶/取消 业务智能体
PCAPI-0027,POST,/agentin/,/app/index/recommend_agent,UNIQUE_LITERAL_CANDIDATE,agentin,3500061,推荐智能体--推荐智能体
PCAPI-0028,POST,/agentin/,/app/orchestration/get_category_list,UNIQUE_LITERAL_CANDIDATE,agentin,3499416,智能体编排--获取分类列表
PCAPI-0029,POST,/agentin/,/app/self_agent/delete,UNIQUE_LITERAL_CANDIDATE,agentin,3499353,我创建的--删除个人智能体（导入 + 自建）
PCAPI-0030,POST,/agentin/,/app/self_agent/list,UNIQUE_LITERAL_CANDIDATE,agentin,3499359,我创建的--智能体列表（导入 + 自建）
PCAPI-0031,POST,/agentin/,/app/self_agent/off_shelf,UNIQUE_LITERAL_CANDIDATE,agentin,3499360,我创建的--下架智能体（下架）
PCAPI-0032,POST,/agentin/,/app/user/identity,MULTIPLE_LITERAL_CANDIDATES,eeo_zero_user; agentin,3500199; 3500021,根据用户id查询用户身份; 根据用户id查询用户身份
PCAPI-0033,POST,/agentin/,/app/user/identity/list,MULTIPLE_LITERAL_CANDIDATES,eeo_zero_user; agentin,3500197; 3500029,获取身份列表（客户端）; 获取身份列表（客户端）
PCAPI-0034,POST,/agentin/,/app/user/identity/save,MULTIPLE_LITERAL_CANDIDATES,eeo_zero_user; agentin,3500195; 3500027,存储用户身份; 存储用户身份
PCAPI-0035,POST,/agentin/,/person/modify,NO_LITERAL_MATCH,,,
PCAPI-0036,POST,/agentin/,app/agent/category,MULTIPLE_LITERAL_CANDIDATES,agentin; agentin,3498869; 3499421,商店--智能体分类-树形结构; 商店--智能体分类
PCAPI-0037,POST,/agentin,/app/agent/detail,MULTIPLE_LITERAL_CANDIDATES,agentin; agentin,3499237; 3499422,商店--公开智能体详情; 商店--公开智能体详情
PCAPI-0038,POST,/agentin,/app/agent/get_category_list,UNIQUE_LITERAL_CANDIDATE,agentin,3500339,商店--获取分类列表
PCAPI-0039,POST,/agentin/,app/agent/list,MULTIPLE_LITERAL_CANDIDATES,agentin; agentin,3499423; 3498871,商店--根据分类获取智能体列表; 商店--根据分类获取智能体列表
PCAPI-0040,POST,/agentin/,app/agent/person/list,UNIQUE_LITERAL_CANDIDATE,agentin,3499429,商店--个人智能体列表
PCAPI-0041,POST,/agentin/,app/agent/person/query_flowin_agent_detail,UNIQUE_LITERAL_CANDIDATE,agentin,3499235,商店--查询flowin智能体详情
PCAPI-0042,POST,/agentin/,app/agent/search,UNIQUE_LITERAL_CANDIDATE,agentin,3502465,商店--按名称搜索智能体
PCAPI-0043,POST,/agentin/,app/agent/tag,UNIQUE_LITERAL_CANDIDATE,agentin,3499418,商店--智能体标签-列表
PCAPI-0044,POST,/agentin,/app/course/agent/add,MULTIPLE_LITERAL_CANDIDATES,agentin; agentin,3498877; 3499432,添加业务智能体(个人、班级); 添加业务智能体(个人、班级)
PCAPI-0045,POST,/agentin/app/course/agent,/delete,NO_LITERAL_MATCH,,,
PCAPI-0046,POST,/agentin/app/,course/agent/delete,NO_LITERAL_MATCH,,,
PCAPI-0047,POST,/agentin/app/course/agent,/list,NO_LITERAL_MATCH,,,
PCAPI-0048,POST,/agentin/app/,course/agent/list,NO_LITERAL_MATCH,,,
PCAPI-0049,POST,/agentin,/app/course/publicagent/detail,MULTIPLE_LITERAL_CANDIDATES,agentin; agentin,3499425; 3498872,业务商店智能体详情(班级、个人); 业务商店智能体详情(班级、个人)
