biz_type,activity_n,distinct_activity_n,institution_n,course_n,started_n,ended_n,event_only_n,no_end_n
1,1171578,1171578,31984,660760,NA,NA,NA,NA
2,129509,129509,3455,52416,71550,55180,25973,28403
3,28216,28216,728,7943,13688,8109,10850,10875
4,42881,42881,993,12885,18946,1452,22638,36165
5,48576,48576,1306,16448,17751,2116,29411,41432
6,1511,1511,159,686,706,86,775,1272
7,10563,10563,368,2800,4982,2431,4617,3534
8,3032,3032,435,1908,1505,1220,680,0
9,29,29,6,7,29,20,0,9
10,36754,36754,599,8206,22365,11460,11952,19330
11,2051,2051,179,467,1643,193,324,1513
12,1951,1951,218,617,1469,229,360,1342
13,2091,2091,86,361,1446,357,441,1495
14,363,363,57,86,292,24,58,303
15,627,627,36,52,558,30,43,588
