biz_type,publish_flag,process_flag,is_deleted,rows_n
NULL,NULL,NULL,NULL,1
1,0,0,0,104962
1,0,0,1,210799
1,2,0,0,6228057
1,2,0,1,35362756
1,2,1,0,732
1,2,1,1,486
1,2,2,0,343225298
1,2,2,1,371
2,0,0,0,497742
2,0,0,1,564894
2,2,0,0,26652
2,2,0,1,215890
2,2,1,0,1616466
2,2,1,1,420329
2,2,2,0,21013971
2,2,2,1,982859
3,0,0,0,574774
3,0,0,1,338903
3,2,0,0,4154
3,2,0,1,156027
3,2,1,0,446033
3,2,1,1,103668
3,2,2,0,3034234
3,2,2,1,183632
4,0,0,0,192650
4,0,0,1,300656
4,1,2,1,1
4,2,0,0,5870
4,2,0,1,67245
4,2,1,0,1938759
4,2,1,1,419687
4,2,2,0,185835
4,2,2,1,102769
5,0,0,0,412309
5,0,0,1,275176
5,2,0,0,5564
5,2,0,1,93484
5,2,1,0,1702098
5,2,1,1,231363
5,2,2,0,223581
5,2,2,1,76885
6,0,0,0,42034
6,0,0,1,61170
6,2,0,0,75
6,2,0,1,56716
6,2,1,0,104799
6,2,1,1,52674
6,2,2,0,24355
6,2,2,1,4966
7,0,0,0,64652
7,0,0,1,99547
7,1,1,1,1
7,1,2,1,17
7,2,0,0,1634
7,2,0,1,13712
7,2,1,0,99934
7,2,1,1,58657
7,2,2,0,232355
7,2,2,1,122492
8,0,0,0,14293
8,0,0,1,29460
8,2,0,0,766
8,2,0,1,20306
8,2,1,0,5556
8,2,1,1,48501
8,2,2,0,198005
8,2,2,1,30122
9,0,0,0,432
9,0,0,1,20394
9,2,0,0,2
9,2,0,1,12
9,2,1,0,3167
9,2,1,1,23484
9,2,2,0,544
9,2,2,1,40
10,0,0,0,126135
10,0,0,1,157643
10,2,0,0,9204
10,2,0,1,9381
10,2,1,0,590928
10,2,1,1,157269
10,2,2,0,333494
10,2,2,1,45466
11,0,0,0,4241
11,0,0,1,2473
11,2,0,0,251
11,2,0,1,448
11,2,1,0,61298
11,2,1,1,22499
11,2,2,0,6788
11,2,2,1,838
12,0,0,0,7607
12,0,0,1,3134
12,2,0,0,116
12,2,0,1,387
12,2,1,0,44362
12,2,1,1,15914
12,2,2,0,7608
12,2,2,1,984
13,0,0,0,5194
13,0,0,1,1406
13,2,0,0,160
13,2,0,1,399
13,2,1,0,65500
13,2,1,1,16039
13,2,2,0,5021
13,2,2,1,461
14,0,0,0,2056
14,0,0,1,524
14,2,0,0,105
14,2,0,1,134
14,2,1,0,26260
14,2,1,1,8876
14,2,2,0,2132
14,2,2,1,206
15,0,0,0,2322
15,0,0,1,720
15,2,0,1,223
15,2,1,0,37460
15,2,1,1,10453
15,2,2,0,1430
15,2,2,1,165
101,0,0,0,1
101,2,1,0,1
165806,1,11,2,1
952026869,0,2,4692592,1
952032825,0,2,4692592,1
1115186657,2,2,56648656,1
