biz_type,action,event_n,institution_n,activity_n,student_activity_n
1,class_join,2072941,25976,1026049,2069580
2,handin_homework,373915,2660,73841,356248
3,handin_exam,89346,558,19806,89346
3,looked_activity,65851,552,18685,65851
4,looked_activity,118550,873,32821,118550
5,looked_activity,149631,1138,41300,149631
6,join_discuss,5621,66,659,5621
6,looked_activity,4739,118,1005,4739
7,handin_answer,39868,271,6878,39868
7,looked_activity,46828,323,7984,46828
8,handin_clock,31947,319,2130,12264
10,en_read_aloud_submit,150382,449,28590,147277
11,looked_activity,2534,127,698,2534
12,looked_activity,2590,158,844,2590
13,looked_activity,2942,60,880,2942
14,looked_activity,540,39,105,540
15,looked_activity,89,19,69,89
