ID,功能域,方法,服务前缀原文,调用路径原文,源码参数键（非完整schema）,发现级别,教师权限,来源URL,行,列
PCAPI-0001,题库与试卷,POST,//question-bank-business-service,/paper/relation,"paperBankId,sourceType",REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/main-6b47fa3c.10b44cb22c410ffa533c.js,1,5321
PCAPI-0002,班级、课堂与课表,POST,/,/schedule-bff/class_schedule/courser/search,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/79587.9fb5132fff363ef1c2e2.chunk.js,1,6797
PCAPI-0003,班级、课堂与课表,POST,/,/schedule-bff/class_schedule/get,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/79587.9fb5132fff363ef1c2e2.chunk.js,1,5856
PCAPI-0004,班级、课堂与课表,POST,/,/schedule-bff/class_schedule/list,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/79587.9fb5132fff363ef1c2e2.chunk.js,1,5634
PCAPI-0005,班级、课堂与课表,POST,/,/schedule-bff/class_schedule/lock_info,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/79587.9fb5132fff363ef1c2e2.chunk.js,1,6077
PCAPI-0006,Agent 与 AI,POST,/agent-api/app/,/message/deployTrialAgent,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/main-35f5d893.cef4d2a43a71c1a35538.js,1,101178
PCAPI-0007,Agent 与 AI,POST,/agent-api,/app/agent/cos/presignUrl,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/main-35f5d893.cef4d2a43a71c1a35538.js,1,104150
PCAPI-0008,Agent 与 AI,POST,/agent-api,/app/agent/selection/page,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/main-84781932.400bb89c9d14ed8b1ae8.js,2,87285
PCAPI-0009,Agent 与 AI,POST,/agent-api,/app/attachment/del,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/40634.179c5b27723a7ff5b815.chunk.js,1,15926
PCAPI-0010,Agent 与 AI,POST,/agent-api,/app/attachment/download,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/94691.9142998129d1f6d5937d.chunk.js,1,20680
PCAPI-0011,Agent 与 AI,POST,/agent-api,/app/attachment/list,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/40634.179c5b27723a7ff5b815.chunk.js,1,15824
PCAPI-0012,Agent 与 AI,POST,/agent-api,/app/attachment/update,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/40634.179c5b27723a7ff5b815.chunk.js,1,15874
PCAPI-0013,Agent 与 AI,POST,/agent-api,/app/config/welcome,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/40634.179c5b27723a7ff5b815.chunk.js,1,15393
PCAPI-0014,Agent 与 AI,POST,/agent-api,/app/feedback/add,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/main-84781932.400bb89c9d14ed8b1ae8.js,2,85513
PCAPI-0015,Agent 与 AI,POST,/agent-api,/app/feedback/getConfig,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/main-84781932.400bb89c9d14ed8b1ae8.js,2,85775
PCAPI-0016,Agent 与 AI,POST,/agent-api,/app/message/answerUseful,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/40634.179c5b27723a7ff5b815.chunk.js,1,15769
PCAPI-0017,Agent 与 AI,POST,/agent-api,/app/message/list,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/40634.179c5b27723a7ff5b815.chunk.js,1,15069
PCAPI-0018,Agent 与 AI,POST,/agent-api,/app/session/del,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/main-f16aa68b.052d2d02108e03fbbd76.js,1,38615
PCAPI-0019,Agent 与 AI,POST,/agent-api,/app/session/list,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/40634.179c5b27723a7ff5b815.chunk.js,1,15022
PCAPI-0020,Agent 与 AI,POST,/agent-api,/app/session/studentList,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/40634.179c5b27723a7ff5b815.chunk.js,1,14968
PCAPI-0021,Agent 与 AI,POST,/agent-api,/app/skill/get,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/94691.9142998129d1f6d5937d.chunk.js,1,6555
PCAPI-0022,Agent 与 AI,POST,/agent-api,/app/task/generateStudentReports,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/main-84781932.400bb89c9d14ed8b1ae8.js,2,85281
PCAPI-0023,Agent 与 AI,POST,/agentin/,/app/collect/agent/add,agent_id,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/61014.063a758e976959fb155d.chunk.js,2,10641
PCAPI-0024,Agent 与 AI,POST,/agentin/,/app/collect/agent/delete,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/61014.063a758e976959fb155d.chunk.js,2,10586
PCAPI-0025,Agent 与 AI,POST,/agentin/,/app/collect/agent/list,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/61014.063a758e976959fb155d.chunk.js,2,10533
PCAPI-0026,Agent 与 AI,POST,/agentin/,/app/collect/agent/top,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/61014.063a758e976959fb155d.chunk.js,2,10704
PCAPI-0027,Agent 与 AI,POST,/agentin/,/app/index/recommend_agent,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/61014.063a758e976959fb155d.chunk.js,2,31774
PCAPI-0028,Agent 与 AI,POST,/agentin/,/app/orchestration/get_category_list,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/main-84781932.400bb89c9d14ed8b1ae8.js,2,42366
PCAPI-0029,Agent 与 AI,POST,/agentin/,/app/self_agent/delete,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/61014.063a758e976959fb155d.chunk.js,2,31335
PCAPI-0030,Agent 与 AI,POST,/agentin/,/app/self_agent/list,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/61014.063a758e976959fb155d.chunk.js,2,31201
PCAPI-0031,Agent 与 AI,POST,/agentin/,/app/self_agent/off_shelf,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/61014.063a758e976959fb155d.chunk.js,2,31557
PCAPI-0032,Agent 与 AI,POST,/agentin/,/app/user/identity,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/main-84781932.400bb89c9d14ed8b1ae8.js,2,42485
PCAPI-0033,Agent 与 AI,POST,/agentin/,/app/user/identity/list,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/main-84781932.400bb89c9d14ed8b1ae8.js,2,42432
PCAPI-0034,Agent 与 AI,POST,/agentin/,/app/user/identity/save,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/main-84781932.400bb89c9d14ed8b1ae8.js,2,42533
PCAPI-0035,Agent 与 AI,POST,/agentin/,/person/modify,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/61014.063a758e976959fb155d.chunk.js,2,32030
PCAPI-0036,Agent 与 AI,POST,/agentin/,app/agent/category,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/61014.063a758e976959fb155d.chunk.js,2,30500
PCAPI-0037,Agent 与 AI,POST,/agentin,/app/agent/detail,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/main-84781932.400bb89c9d14ed8b1ae8.js,2,86003
PCAPI-0038,Agent 与 AI,POST,/agentin,/app/agent/get_category_list,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/main-43dd7041.e00a24a24d2ed1e3ba11.js,1,6689
PCAPI-0039,Agent 与 AI,POST,/agentin/,app/agent/list,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/61014.063a758e976959fb155d.chunk.js,2,30703
PCAPI-0040,Agent 与 AI,POST,/agentin/,app/agent/person/list,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/61014.063a758e976959fb155d.chunk.js,2,32074
PCAPI-0041,Agent 与 AI,POST,/agentin/,app/agent/person/query_flowin_agent_detail,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/61014.063a758e976959fb155d.chunk.js,2,30906
PCAPI-0042,Agent 与 AI,POST,/agentin/,app/agent/search,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/61014.063a758e976959fb155d.chunk.js,2,30747
PCAPI-0043,Agent 与 AI,POST,/agentin/,app/agent/tag,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/61014.063a758e976959fb155d.chunk.js,2,30636
PCAPI-0044,Agent 与 AI,POST,/agentin,/app/course/agent/add,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/main-84781932.400bb89c9d14ed8b1ae8.js,2,86839
PCAPI-0045,Agent 与 AI,POST,/agentin/app/course/agent,/delete,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/60851.0db3a939e2015ab973ac.chunk.js,1,17087
PCAPI-0046,Agent 与 AI,POST,/agentin/app/,course/agent/delete,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/main-35f5d893.cef4d2a43a71c1a35538.js,1,101028
PCAPI-0047,Agent 与 AI,POST,/agentin/app/course/agent,/list,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/60851.0db3a939e2015ab973ac.chunk.js,1,16990
PCAPI-0048,Agent 与 AI,POST,/agentin/app/,course/agent/list,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/main-35f5d893.cef4d2a43a71c1a35538.js,1,100981
PCAPI-0049,Agent 与 AI,POST,/agentin,/app/course/publicagent/detail,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/main-84781932.400bb89c9d14ed8b1ae8.js,2,86409
PCAPI-0050,Agent 与 AI,POST,/agentin/,app/index/banner_list,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/61014.063a758e976959fb155d.chunk.js,2,31955
PCAPI-0051,Agent 与 AI,POST,/agentin,/app/newbee/content/is_empty,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/main-43dd7041.e00a24a24d2ed1e3ba11.js,1,8993
PCAPI-0052,Agent 与 AI,POST,/agentin,/app/newbee/creater_token/get,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/main-43dd7041.e00a24a24d2ed1e3ba11.js,1,8472
PCAPI-0053,Agent 与 AI,POST,/agentin,/app/newbee/space/read_token,space_id,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/main-43dd7041.e00a24a24d2ed1e3ba11.js,1,8737
PCAPI-0054,Agent 与 AI,POST,/agentin,/app/newbee/wisehub/batch_study_status,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/main-43dd7041.e00a24a24d2ed1e3ba11.js,1,10227
PCAPI-0055,Agent 与 AI,POST,/agentin/,app/notification/list,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/61014.063a758e976959fb155d.chunk.js,2,30978
PCAPI-0056,Agent 与 AI,POST,/agentin/,app/notification/read,,REQUEST_CALL,未验证,https://wsevlf001.eeo.im/files/frontend/classin/lms-bleach-six/dist/static/js/61014.063a758e976959fb155d.chunk.js,2,31029
